sales_id,product_id,day,time,count
1,P007,2025-01-01,06:25,5
2,P008,2025-01-01,09:07,3
3,P006,2025-01-01,18:13,4
4,P005,2025-01-01,19:32,3
5,P007,2025-01-02,04:45,3
6,P003,2025-01-02,04:55,1
7,P007,2025-01-03,22:52,4
8,P005,2025-01-04,02:01,2
9,P006,2025-01-04,15:41,2
10,P006,2025-01-04,16:18,1
11,P004,2025-01-04,17:13,5
12,P006,2025-01-04,17:48,2
13,P006,2025-01-04,21:06,5
14,P004,2025-01-05,04:33,4
15,P001,2025-01-05,07:20,1
16,P008,2025-01-05,20:34,4
17,P005,2025-01-06,16:01,4
18,P007,2025-01-06,21:20,5
19,P008,2025-01-07,00:04,2
20,P001,2025-01-07,11:04,3
21,P008,2025-01-07,15:31,5
22,P005,2025-01-07,16:44,3
23,P006,2025-01-07,22:32,5
24,P006,2025-01-08,15:09,5
25,P005,2025-01-09,03:01,2
26,P008,2025-01-09,11:52,4
27,P008,2025-01-09,17:39,3
28,P008,2025-01-11,15:44,3
29,P004,2025-01-11,15:59,4
30,P004,2025-01-11,20:11,5
31,P008,2025-01-12,06:39,1
32,P008,2025-01-12,07:22,1
33,P001,2025-01-12,10:25,2
34,P004,2025-01-13,19:13,5
35,P004,2025-01-14,05:50,4
36,P005,2025-01-14,23:18,2
37,P005,2025-01-15,09:30,2
38,P006,2025-01-15,09:33,2
39,P007,2025-01-15,19:37,3
40,P003,2025-01-15,20:30,4
41,P003,2025-01-17,02:43,2
42,P001,2025-01-17,03:35,4
43,P005,2025-01-17,05:52,4
44,P004,2025-01-17,07:06,4
45,P006,2025-01-17,16:47,1
46,P001,2025-01-17,16:52,5
47,P005,2025-01-17,18:56,2
48,P005,2025-01-18,03:57,1
49,P002,2025-01-18,10:09,3
50,P001,2025-01-18,10:45,2
51,P003,2025-01-18,19:48,5
52,P006,2025-01-19,08:59,2
53,P001,2025-01-20,05:39,1
54,P003,2025-01-21,03:36,2
55,P006,2025-01-21,20:28,1
56,P006,2025-01-22,13:04,2
57,P004,2025-01-22,18:42,4
58,P007,2025-01-22,19:30,3
59,P006,2025-01-22,23:25,5
60,P003,2025-01-23,02:21,4
61,P002,2025-01-23,05:42,4
62,P008,2025-01-23,17:13,1
63,P002,2025-01-23,17:43,1
64,P006,2025-01-24,00:31,1
65,P005,2025-01-24,05:42,2
66,P006,2025-01-25,06:15,1
67,P004,2025-01-25,07:30,3
68,P006,2025-01-25,11:50,2
69,P006,2025-01-26,15:00,3
70,P006,2025-01-26,16:40,1
71,P004,2025-01-26,21:48,2
72,P004,2025-01-27,06:52,1
73,P002,2025-01-27,15:49,5
74,P008,2025-01-27,18:07,4
75,P008,2025-01-27,19:26,2
76,P007,2025-01-27,19:34,5
77,P008,2025-01-27,20:21,1
78,P005,2025-01-28,01:17,1
79,P002,2025-01-28,02:25,1
80,P006,2025-01-28,12:38,3
81,P006,2025-01-28,19:22,4
82,P003,2025-01-28,20:50,5
83,P004,2025-01-30,01:46,5
84,P005,2025-01-30,03:00,4
85,P004,2025-01-30,11:35,2
86,P003,2025-01-30,21:15,1
87,P007,2025-01-30,22:36,5
88,P004,2025-01-31,00:09,2
89,P006,2025-01-31,02:39,2
90,P007,2025-01-31,09:29,2
91,P008,2025-01-31,13:39,5
92,P003,2025-02-01,05:51,5
93,P003,2025-02-01,08:48,5
94,P003,2025-02-02,00:31,4
95,P006,2025-02-02,17:19,4
96,P006,2025-02-02,22:16,3
97,P005,2025-02-03,04:37,1
98,P007,2025-02-03,08:51,4
99,P007,2025-02-03,10:09,2
100,P002,2025-02-03,13:38,1
